id,weight,movieid_id,genres
1,0.5,tt0100029,Action
2,0.5,tt0101420,Drama|Horror
3,0.5,tt0105217,Horror|Thriller
4,0.5,tt1079372,Action|Adventure|Fantasy
5,0.5,tt0112255,Action|Children
6,0.5,tt0113533,Adventure|Children|Comedy|Drama
7,0.5,tt1137996,Action|Horror|Sci-Fi|Thriller
8,0.5,tt0116861,Comedy|Fantasy|Horror|Sci-Fi
9,0.5,tt0117223,Sci-Fi
10,0.5,tt0118589,Drama|Musical|Romance
11,0.5,tt1234541,Drama|Fantasy|Sci-Fi|Thriller
12,0.5,tt1243974,Comedy|Drama|Romance
13,0.5,tt0126388,Action|Adventure|Drama|War
14,0.5,tt1397514,Action|Adventure|Comedy|Sci-Fi|IMAX
15,0.5,tt1417592,Documentary|Musical
16,0.5,tt1426352,Drama|Horror
17,0.5,tt1430607,Animation|Children|Comedy|Drama
18,0.5,tt1467304,Horror
19,0.5,tt1488163,Drama
20,0.5,tt1564585,Sci-Fi|Thriller
21,0.5,tt0172184,Action|Thriller
22,0.5,tt1798603,Comedy
23,0.5,tt0181947,Action|Adventure|Sci-Fi
24,0.5,tt0188504,Drama|Fantasy
25,0.5,tt0193524,Adventure|Children|Comedy|Sci-Fi
26,0.5,tt1935929,Children|Comedy
27,0.5,tt2053425,Drama|Romance
28,0.5,tt0207374,Drama|Fantasy
29,0.5,tt2140423,Crime|Drama|Horror
30,0.5,tt0217788,Comedy
31,0.5,tt0022002,Drama
32,0.5,tt0022718,Comedy
33,0.5,tt2347134,Action|Crime|Drama
34,0.5,tt2404233,Adventure|Fantasy
35,0.5,tt2528814,Drama
36,0.5,tt2546038,Comedy
37,0.5,tt0255819,Crime|Drama
38,0.5,tt2638144,(no genres listed)
39,0.5,tt0027664,Adventure|Crime|Thriller
40,0.5,tt2828996,Comedy|Horror
41,0.5,tt2933474,(no genres listed)
42,0.5,tt0298296,Action|Thriller
43,0.5,tt0311361,Action|Comedy|Horror|Musical
44,0.5,tt3210686,Drama
45,0.5,tt3231054,Children|Drama
46,0.5,tt3247714,Action|Thriller
47,0.5,tt0327210,Comedy
48,0.5,tt0347791,Animation|Children
49,0.5,tt0353324,Action|Adventure|Fantasy|Thriller
50,0.5,tt0363828,Action|Animation
51,0.5,tt0368578,Children|Comedy
52,0.5,tt0369226,Action|Horror|Sci-Fi|Thriller
53,0.5,tt0037635,Horror|Mystery
54,0.5,tt3832914,Drama
55,0.5,tt4009460,Children|Comedy
56,0.5,tt4126340,Comedy
57,0.5,tt4464394,Action|Horror|Sci-Fi
58,0.5,tt0450827,Horror|Thriller
59,0.5,tt0460780,Action|Adventure|Fantasy
60,0.5,tt0462244,Children|Comedy
61,0.5,tt4796122,Horror
62,0.5,tt4877122,Animation|Children|Comedy
